indexid,filename,identifier,contributor,title,creator,date,description,subject,place,latitude,longitude,source,type,format,language,rights,rightsstatement,githubusername
pg8-x-545e,pg8-x545-e.jpg,8-x-545e,Tiffany Gunderson,"Wallace, Idaho - Forest Fire 1910","Barnard Studio (Wallace, Idaho)",1910,Showing ruins of the Pacific Hotel; Hotel Street from 7th,hotels (public accomodations); fire damage,"Wallace, Idaho",47.48089,-115.928038,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",Image;StillImage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,gund2405
pg8-x-537,pg8-x-537.jpg,8-x-537,Tiffany Gunderson,"Bull Pen, Kellogg","Barnard Studio (Wallace, Idaho)",1899,Interior showing bunks and groups of men in the Bull Pen,men; men's quarters; buildings (structures),"Kellogg, Idaho",47.565468,-116.116454,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",Image;StillImage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,gund2405
mg5-004-008,mg5-004-008.pdf,mg5-004-008,Tiffany Gunderson,Operative Report - Operative B. 114,Thiel Detective Service Co.,1907-01-21,"Believe that a strike will occur in BC and CDA in the spring due to high price of living and no increase in wages, situation currently good but need to fix or attend to the current system to prevent trouble",strikes; organizations (groups); politics; social issues,"Wallace, Idaho",47.484482,-115.931058,"MG 5, Stanly Easton Papers, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,gund2405
mg5-001-165,mg5-001-165.pdf,mg5-001-165,Tiffany Gunderson,Operative Report ,Thiel Detective Service Co.,1901-04-20,"Rumor that the violence in CDA caused by sheriffs office/deputies/mine managers, they need union men to fight back, speculation on the Fisher murder trial",legal disputes; labor disputes; murder; labor unions; travel,"Wardner, Idaho",47.531592,-116.133783,"MG 5, Stanly Easton Papers, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,gund2405
pg8-A-074g,pg8-A-074g.jpg,pg8-A-074g,Kailee Hudson,"Hercules Mining Company, Burke, Idaho","Barnard Studio (Wallace, Idaho)",1908-09-01,"Hercules Mining Company, Burke Idaho. Taken for Mr. Day. Sept. 1 for lawsuit",lawsuit; mine; housing; ,"Burke, Idaho",47.52201447.522014,,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,kaileehudson
mg367-1578-002,mg367-1578-002.pdf,mg367-1578-002,Kailee Hudson,Pinkerton Detective Agency Correspondence to S.A. Easton,Z. R. Tadin ,1906-11-06,Correspondence between Pinkerton National Detective Agency to Bunker Hill & Sullivan Mining Co. about operative No. 15 duties.,operatives; unions; mines; miners,"Kellogg, Idaho",,,"MG367, Bunker Hill Mining Company, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,kaileehudson
mg367-1578-004,mg367-1578-004.pdf,mg367-1578-004,Kailee Hudson,Operative Report No. 15,R.,1906-01-13,Operative report from No. 15 warning that Burkbridge is in danger of assanination.,operative; miners; unions; murder,Mullan. Idaho,,,"MG367, Bunker Hill Mining Company, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,kaileehudson
mg367-1578-023,mg367-1578-023.pdf,mg367-1578-023,Kailee Hudson,Operative Report No. 24,R.,1906-01-31,"Operative report from No. 24  explaing how gas in the mine made him ill, and that The Bunker Hill & Sullivan is one fire.",operative; mines; miners; fire; gas,"Wardner, Idaho",,,"MG367, Bunker Hill Mining Company, University of Idaho Library Special Collections and Archives",text,application/pdf,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,kaileehudson
pg8-A-095,pg8-A-095.jpg,pg8-A-095,Kailee Hudson,Wallace Fire Department,"Barnard Studio (Wallace, Idaho)",1906,Eight firemen with horse-drawn fire trunk posed in front of the fire station,firemen; fire station; fire department;,"Wallace, Idaho",,,"PG 8, Barnard-Stockbridge Collection, University of Idaho Library Special Collections and Archives",Image;Stillimage,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,kaileehudson
mg367-1575-014,mg367-1575-014.pdf,mg367-1575-014,Rory Butcher,"Idaho's First Martyr, The Idaho Magazine",F.W. Ellis,1906-02,An editorial on former Idaho Govenor Steunenberg and his assassination,assassinations; governors; mining,"Boise, Idaho",43.834706,-116.189997,"MG 367, Bunker Hill Mining Company Records, University of Idaho Library Special Collections and Archives",text,image/jpg,eng,Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library.,http://rightsstatements.org/vocab/NoC-US/1.0/,
